2.5,12.5 
2.5,13.5 
2.5,14.5 
2.5,15.5 
2.5,17.5 
2.5,19.5 
2.5,20.5 
2.5,21.5 
2.5,22.5 
2.5,23.5 
2.5,24.5 
2.5,25.5 
2.5,26.5 
2.5,27.5 
2.5,29.5 
3.5,10.5 
3.5,11.5 
3.5,12.5 
3.5,13.5 
3.5,14.5 
3.5,15.5 
3.5,16.5 
3.5,17.5 
3.5,18.5 
3.5,19.5 
3.5,20.5 
3.5,21.5 
3.5,22.5 
3.5,23.5 
3.5,24.5 
3.5,26.5 
3.5,28.5 
4.5,10.5 
4.5,11.5 
4.5,12.5 
4.5,13.5 
4.5,14.5 
4.5,15.5 
4.5,16.5 
4.5,17.5 
4.5,19.5 
4.5,20.5 
4.5,21.5 
4.5,22.5 
4.5,23.5 
4.5,24.5 
4.5,25.5 
4.5,26.5 
4.5,27.5 
4.5,28.5 
4.5,29.5 
5.5,10.5 
5.5,11.5 
5.5,12.5 
5.5,13.5 
5.5,14.5 
5.5,15.5 
5.5,16.5 
5.5,17.5 
5.5,18.5 
5.5,20.5 
5.5,21.5 
5.5,23.5 
5.5,24.5 
5.5,26.5 
5.5,29.5 
6.5,10.5 
6.5,11.5 
6.5,12.5 
6.5,13.5 
6.5,15.5 
6.5,16.5 
6.5,17.5 
6.5,18.5 
6.5,21.5 
6.5,23.5 
6.5,25.5 
6.5,27.5 
6.5,28.5 
6.5,29.5 
7.5,10.5 
7.5,11.5 
7.5,12.5 
7.5,14.5 
7.5,15.5 
7.5,17.5 
7.5,18.5 
7.5,19.5 
7.5,20.5 
7.5,21.5 
7.5,22.5 
7.5,23.5 
7.5,24.5 
7.5,25.5 
7.5,26.5 
7.5,27.5 
7.5,28.5 
8.5,10.5 
8.5,11.5 
8.5,13.5 
8.5,14.5 
8.5,15.5 
8.5,16.5 
8.5,18.5 
8.5,19.5 
8.5,20.5 
8.5,21.5 
8.5,22.5 
8.5,23.5 
8.5,24.5 
8.5,25.5 
8.5,26.5 
8.5,27.5 
8.5,28.5 
8.5,29.5 
9.5,10.5 
9.5,11.5 
9.5,13.5 
9.5,14.5 
9.5,15.5 
9.5,16.5 
9.5,18.5 
9.5,19.5 
9.5,20.5 
9.5,21.5 
9.5,22.5 
9.5,23.5 
9.5,24.5 
9.5,25.5 
9.5,26.5 
9.5,27.5 
9.5,28.5 
9.5,29.5 
